1:FourPixel,
Transient Analysis,
Tue Nov 20 15:05:46 2018,
Input file: \\tsclient\C\Users\marku\Documents\ICdrit\FourPixel.cir,
time [sec],v(vdd) [V],v(11:n1) [V],v(expose) [V],v(11:n2) [V],v(erase) [V],v(11:n3) [V],v(nre_r1) [V],v(out1) [V],v(12:n1) [V],v(12:n2) [V],v(12:n3) [V],v(out2) [V],v(21:n1) [V],v(21:n2) [V],v(21:n3) [V],v(nre_r2) [V],v(22:n1) [V],v(22:n2) [V],v(22:n3) [V],v(m:22:c.drain) [V],v(m:22:c.source) [V],v(m:22:p4.drain) [V],v(m:22:p4.source) [V],v(m:22:p3.drain) [V],v(m:22:p3.source) [V],v(m:21:c.drain) [V],v(m:21:c.source) [V],v(m:21:p4.drain) [V],v(m:21:p4.source) [V],v(m:21:p3.drain) [V],v(m:21:p3.source) [V],v(m:12:c.drain) [V],v(m:12:c.source) [V],v(m:12:p4.drain) [V],v(m:12:p4.source) [V],v(m:12:p3.drain) [V],v(m:12:p3.source) [V],v(m:11:c.drain) [V],v(m:11:c.source) [V],v(m:11:p4.drain) [V],v(m:11:p4.source) [V],v(m:11:p3.drain) [V],v(m:11:p3.source) [V],v(m:22:n2.drain) [V],v(m:22:n2.source) [V],v(m:22:n1.drain) [V],v(m:22:n1.source) [V],v(m:21:n2.drain) [V],v(m:21:n2.source) [V],v(m:21:n1.drain) [V],v(m:21:n1.source) [V],v(m:12:n2.drain) [V],v(m:12:n2.source) [V],v(m:12:n1.drain) [V],v(m:12:n1.source) [V],v(m:11:n2.drain) [V],v(m:11:n2.source) [V],v(m:11:n1.drain) [V],v(m:11:n1.source) [V],i(vnre_r2) [A],i(vnre_r1) [A],i(verase) [A],i(vexpose) [A],i(vdd) [A],
0.000512,1.8,1.8951,0,0.042392,0,0.41942,1.8,1.7594,1.8951,0.042392,0.419409,1.75937,1.8951,0.042392,0.41942,1.8,1.89511,0.0424404,0.419418,1.75937,1.8,0.419418,1.75937,1.12841e-10,0.419418,1.7594,1.8,0.41942,1.7594,1.12967e-10,0.41942,1.75937,1.8,0.419409,1.75937,1.12934e-10,0.419409,1.7594,1.8,0.41942,1.7594,1.12967e-10,0.41942,0.0424404,3.68125e-11,1.89511,0.0424404,0.042392,3.67804e-11,1.8951,0.042392,0.042392,3.67804e-11,1.8951,0.042392,0.042392,3.67804e-11,1.8951,0.042392,1.2143e-14,1.23586e-14,5.96242e-14,2.70935e-13,-1.1347e-10,
0.001,1.8,1.89511,0,0.0423923,0,0.419423,1.8,1.7594,1.89511,0.0423922,0.419412,1.75937,1.89511,0.0423923,0.419423,1.8,1.89512,0.0424404,0.419424,1.75937,1.8,0.419424,1.75937,1.12823e-10,0.419424,1.7594,1.8,0.419423,1.7594,1.12943e-10,0.419423,1.75937,1.8,0.419412,1.75937,1.1291e-10,0.419412,1.7594,1.8,0.419423,1.7594,1.12943e-10,0.419423,0.0424404,3.68125e-11,1.89512,0.0424404,0.0423923,3.67804e-11,1.89511,0.0423923,0.0423922,3.67803e-11,1.89511,0.0423922,0.0423923,3.67804e-11,1.89511,0.0423923,6.60887e-15,6.67113e-15,-5.96199e-14,-1.92156e-13,-1.13166e-10,
0.00103,1.8,1.57509,0.18,0.0564624,0,0.428357,1.8,1.7594,1.57509,0.0564623,0.428346,1.75937,1.57509,0.0564624,0.428357,1.8,1.59299,0.0564828,0.427381,1.75937,1.8,0.427381,1.75937,1.27963e-10,0.427381,1.7594,1.8,0.428357,1.7594,1.30825e-10,0.428357,1.75937,1.8,0.428346,1.75937,1.30795e-10,0.428346,1.7594,1.8,0.428357,1.7594,1.30825e-10,0.428357,0.0564828,3.89098e-11,1.59299,0.0564828,0.0564624,3.8891e-11,1.57509,0.0564624,0.0564623,3.8891e-11,1.57509,0.0564623,0.0564624,3.8891e-11,1.57509,0.0564624,3.89963e-12,4.12248e-12,2.55178e-12,-1.00172e-09,-1.92587e-09,
0.00109,1.8,0.111588,0.54,0.111543,0,0.464351,1.8,1.7594,0.111588,0.111543,0.464338,1.75937,0.111588,0.111543,0.464351,1.8,0.115192,0.115135,0.461485,1.75937,1.8,0.461485,1.75937,1.52914e-10,0.461485,1.7594,1.8,0.464351,1.7594,1.57641e-10,0.464351,1.75937,1.8,0.464338,1.75937,1.57613e-10,0.464338,1.7594,1.8,0.464351,1.7594,1.57641e-10,0.464351,0.115135,4.08349e-11,0.115192,0.115135,0.111543,4.07996e-11,0.111588,0.111544,0.111543,4.07996e-11,0.111588,0.111543,0.111543,4.07996e-11,0.111588,0.111544,1.27761e-11,1.30405e-11,7.59957e-12,-1.74078e-09,-5.84615e-09,
0.00114139,1.8,0.126567,0.848338,0.126622,0,0.481484,1.8,1.7594,0.126566,0.126622,0.481469,1.75937,0.126567,0.126622,0.481484,1.8,0.129971,0.130035,0.480503,1.75937,1.8,0.480503,1.75937,3.73437e-11,0.480503,1.7594,1.8,0.481484,1.7594,5.48413e-11,0.481484,1.75937,1.8,0.481469,1.75937,5.48051e-11,0.481469,1.7594,1.8,0.481484,1.7594,5.48413e-11,0.481484,0.130035,4.09313e-11,0.129971,0.130035,0.126622,4.09107e-11,0.126567,0.126622,0.126622,4.09107e-11,0.126566,0.126622,0.126622,4.09107e-11,0.126567,0.126622,-3.81029e-12,-4.02589e-12,-4.42779e-12,-1.20635e-09,5.39776e-09,
0.00118885,1.8,0.142131,1.13309,0.14213,0,0.495105,1.8,1.7594,0.142131,0.14213,0.495091,1.75937,0.142131,0.14213,0.495105,1.8,0.145476,0.145475,0.494843,1.75937,1.8,0.494843,1.75937,1.7579e-10,0.494843,1.7594,1.8,0.495105,1.7594,1.75983e-10,0.495105,1.75937,1.8,0.495091,1.75937,1.75948e-10,0.495091,1.7594,1.8,0.495105,1.7594,1.75983e-10,0.495105,0.145475,4.09922e-11,0.145476,0.145475,0.14213,4.09799e-11,0.142131,0.14213,0.14213,4.09799e-11,0.142131,0.14213,0.14213,4.09799e-11,0.142131,0.14213,1.12597e-11,1.12717e-11,7.97977e-12,-2.02469e-09,-5.83226e-09,
0.00125476,1.8,0.163646,1.52857,0.163647,0,0.512151,1.8,1.7594,0.163646,0.163646,0.512138,1.75937,0.163646,0.163647,0.512151,1.8,0.166903,0.166904,0.512347,1.75937,1.8,0.512347,1.75937,4.31015e-11,0.512347,1.7594,1.8,0.512151,1.7594,5.71792e-11,0.512151,1.75937,1.8,0.512138,1.75937,5.71445e-11,0.512138,1.7594,1.8,0.512151,1.7594,5.71792e-11,0.512151,0.166904,4.1038e-11,0.166903,0.166904,0.163647,4.10323e-11,0.163646,0.163647,0.163646,4.10323e-11,0.163646,0.163646,0.163647,4.10323e-11,0.163646,0.163647,-4.09847e-12,-4.20524e-12,-4.43136e-12,-1.20451e-09,5.39999e-09,
0.0013,1.8,0.178421,1.8,0.178421,0,0.524333,1.8,1.7594,0.178421,0.178421,0.52432,1.75937,0.178421,0.178421,0.524333,1.8,0.181606,0.181605,0.523913,1.75937,1.8,0.523913,1.75937,1.77125e-10,0.523913,1.7594,1.8,0.524333,1.7594,1.77029e-10,0.524333,1.75937,1.8,0.52432,1.75937,1.76995e-10,0.52432,1.7594,1.8,0.524333,1.7594,1.77029e-10,0.524333,0.181605,4.10537e-11,0.181605,0.181605,0.178421,4.10506e-11,0.178421,0.178421,0.178421,4.10506e-11,0.178421,0.178421,0.178421,4.10506e-11,0.178421,0.178421,1.06985e-11,1.04189e-11,7.97196e-12,-2.02285e-09,-5.83339e-09,
0.00131318,1.8,0.17884,1.8,0.17884,0,0.525335,1.8,1.7594,0.17884,0.17884,0.525322,1.75937,0.17884,0.17884,0.525335,1.8,0.182023,0.182023,0.525609,1.75937,1.8,0.525609,1.75937,9.77638e-11,0.525609,1.7594,1.8,0.525335,1.7594,1.03859e-10,0.525335,1.75937,1.8,0.525322,1.75937,1.03825e-10,0.525322,1.7594,1.8,0.525335,1.7594,1.03859e-10,0.525335,0.182023,4.10543e-11,0.182023,0.182023,0.17884,4.10514e-11,0.17884,0.17884,0.17884,4.10514e-11,0.17884,0.17884,0.17884,4.10514e-11,0.17884,0.17884,1.1666e-12,1.0385e-12,1.59514e-13,8.95989e-12,-2.71977e-10,
0.00133955,1.8,0.179669,1.8,0.179669,0,0.526983,1.8,1.7594,0.179669,0.179669,0.526971,1.75937,0.179669,0.179669,0.526983,1.8,0.182852,0.182852,0.527997,1.75937,1.8,0.527997,1.75937,1.02288e-10,0.527997,1.7594,1.8,0.526983,1.7594,1.06594e-10,0.526983,1.75937,1.8,0.526971,1.75937,1.06558e-10,0.526971,1.7594,1.8,0.526983,1.7594,1.06594e-10,0.526983,0.182852,4.10546e-11,0.182852,0.182852,0.179669,4.10517e-11,0.179669,0.179669,0.179669,4.10517e-11,0.179669,0.179669,0.179669,4.10517e-11,0.179669,0.179669,9.24859e-13,6.70112e-13,1.82661e-13,8.84781e-12,-2.69311e-10,
