5:OnePixel,
Transient Analysis,
Tue Nov 20 15:10:03 2018,
Input file: \\tsclient\C\Users\marku\Documents\ICdrit\OnePixel.cir,
time [sec],v(vdd) [V],v(n1) [V],v(expose) [V],v(n2) [V],v(erase) [V],v(n3) [V],v(nre) [V],v(out) [V],v(mc.drain) [V],v(mc.source) [V],v(mp4.drain) [V],v(mp4.source) [V],v(mp3.drain) [V],v(mp3.source) [V],v(mn2.drain) [V],v(mn2.source) [V],v(mn1.drain) [V],v(mn1.source) [V],i(vnre) [A],i(verase) [A],i(vexpose) [A],i(vdd) [A],
0,1.8,1.97085,0,0.0433061,0,0.42011,1.8,1.75936,1.75936,1.8,0.42011,1.75936,1.12755e-10,0.42011,0.0433061,3.69974e-11,1.97085,0.0433061,0,0,0,-2.84281e-11,
1e-06,1.8,1.97085,0,0.0433012,0,0.420001,1.8,1.75936,1.75936,1.8,0.420001,1.75936,1.29256e-10,0.420001,0.0433012,3.69963e-11,1.97085,0.0433012,9.10478e-13,-6.45168e-15,-3.30694e-14,-2.49902e-11,
2e-06,1.8,1.97085,0,0.0432965,0,0.419999,1.8,1.75936,1.75936,1.8,0.419999,1.75936,1.29011e-10,0.419999,0.0432965,3.69954e-11,1.97085,0.0432965,8.966e-13,-1.2894e-14,-6.6354e-14,-2.50416e-11,
4e-06,1.8,1.97085,0,0.0432873,0,0.419995,1.8,1.75936,1.75936,1.8,0.419995,1.75936,1.28533e-10,0.419995,0.0432873,3.69934e-11,1.97085,0.0432873,8.69512e-13,-2.5463e-14,-1.31582e-13,-2.51416e-11,
8e-06,1.8,1.97085,0,0.0432741,0,0.419992,1.8,1.75936,1.75936,1.8,0.419992,1.75936,1.20161e-10,0.419992,0.0432741,3.69907e-11,1.97085,0.0432741,4.2312e-13,-2.16827e-14,-1.12659e-13,-2.6857e-11,
1.6e-05,1.8,1.97085,0,0.043262,0,0.419991,1.8,1.75936,1.75936,1.8,0.419991,1.75936,1.16178e-10,0.419991,0.043262,3.69882e-11,1.97085,0.043262,2.09277e-13,-1.4959e-14,-7.7993e-14,-2.768e-11,
3.2e-05,1.8,1.97085,0,0.0432509,0,0.419992,1.8,1.75936,1.75936,1.8,0.419992,1.75936,1.14294e-10,0.419992,0.0432509,3.69859e-11,1.97085,0.0432509,1.06006e-13,-9.35524e-15,-4.88322e-14,-2.8076e-11,
6.4e-05,1.8,1.97085,0,0.0432396,0,0.419997,1.8,1.75935,1.75935,1.8,0.419997,1.75935,1.13414e-10,0.419997,0.0432396,3.69836e-11,1.97085,0.0432396,5.48949e-14,8.39031e-15,4.37599e-14,-2.82701e-11,
0.000128,1.8,1.97085,0,0.0432296,0,0.420004,1.8,1.75935,1.75935,1.8,0.420004,1.75935,1.13022e-10,0.420004,0.0432296,3.69814e-11,1.97085,0.0432296,2.90115e-14,-8.8164e-15,-4.59815e-14,-2.83634e-11,
0.000256,1.8,1.97085,0,0.0432213,0,0.420013,1.8,1.75935,1.75935,1.8,0.420013,1.75935,1.12858e-10,0.420013,0.0432213,3.69797e-11,1.97085,0.0432213,1.53763e-14,9.44789e-15,4.93279e-14,-2.84114e-11,
