2:FourPixel,
Transient Analysis,
Tue Nov 20 15:07:46 2018,
Input file: \\tsclient\C\Users\marku\Documents\ICdrit\FourPixel.cir,
time [sec],v(vdd) [V],v(11:n1) [V],v(expose) [V],v(11:n2) [V],v(erase) [V],v(11:n3) [V],v(nre_r1) [V],v(out1) [V],v(12:n1) [V],v(12:n2) [V],v(12:n3) [V],v(out2) [V],v(21:n1) [V],v(21:n2) [V],v(21:n3) [V],v(nre_r2) [V],v(22:n1) [V],v(22:n2) [V],v(22:n3) [V],v(m:22:c.drain) [V],v(m:22:c.source) [V],v(m:22:p4.drain) [V],v(m:22:p4.source) [V],v(m:22:p3.drain) [V],v(m:22:p3.source) [V],v(m:21:c.drain) [V],v(m:21:c.source) [V],v(m:21:p4.drain) [V],v(m:21:p4.source) [V],v(m:21:p3.drain) [V],v(m:21:p3.source) [V],v(m:12:c.drain) [V],v(m:12:c.source) [V],v(m:12:p4.drain) [V],v(m:12:p4.source) [V],v(m:12:p3.drain) [V],v(m:12:p3.source) [V],v(m:11:c.drain) [V],v(m:11:c.source) [V],v(m:11:p4.drain) [V],v(m:11:p4.source) [V],v(m:11:p3.drain) [V],v(m:11:p3.source) [V],v(m:22:n2.drain) [V],v(m:22:n2.source) [V],v(m:22:n1.drain) [V],v(m:22:n1.source) [V],v(m:21:n2.drain) [V],v(m:21:n2.source) [V],v(m:21:n1.drain) [V],v(m:21:n1.source) [V],v(m:12:n2.drain) [V],v(m:12:n2.source) [V],v(m:12:n1.drain) [V],v(m:12:n1.source) [V],v(m:11:n2.drain) [V],v(m:11:n2.source) [V],v(m:11:n1.drain) [V],v(m:11:n1.source) [V],i(vnre_r2) [A],i(vnre_r1) [A],i(verase) [A],i(vexpose) [A],i(vdd) [A],
0,1.8,1.97085,0,0.0432565,0,0.420115,1.8,1.7594,1.97085,0.0432565,0.420105,1.75938,1.97085,0.0432565,0.420115,1.8,1.97085,0.0433061,0.42012,1.75938,1.8,0.42012,1.75938,1.12786e-10,0.42012,1.7594,1.8,0.420115,1.7594,1.12893e-10,0.420115,1.75938,1.8,0.420105,1.75938,1.12863e-10,0.420105,1.7594,1.8,0.420115,1.7594,1.12893e-10,0.420115,0.0433061,3.69974e-11,1.97085,0.0433061,0.0432565,3.69657e-11,1.97085,0.0432565,0.0432565,3.69657e-11,1.97085,0.0432565,0.0432565,3.69657e-11,1.97085,0.0432565,0,0,0,0,-1.14264e-10,
1e-06,1.8,1.97085,0,0.0432519,0,0.420034,1.8,1.7594,1.97085,0.0432519,0.420024,1.75938,1.97085,0.0432519,0.420034,1.8,1.97085,0.0433012,0.420011,1.75938,1.8,0.420011,1.75938,1.29286e-10,0.420011,1.7594,1.8,0.420034,1.7594,1.29355e-10,0.420034,1.75938,1.8,0.420024,1.75938,1.29325e-10,0.420024,1.7594,1.8,0.420034,1.7594,1.29355e-10,0.420034,0.0433012,3.69963e-11,1.97085,0.0433012,0.0432519,3.69648e-11,1.97085,0.0432519,0.0432519,3.69648e-11,1.97085,0.0432519,0.0432519,3.69648e-11,1.97085,0.0432519,2.0062e-12,2.18859e-12,-2.51742e-14,-1.29016e-13,-1.01943e-10,
2e-06,1.8,1.97085,0,0.0432473,0,0.420032,1.8,1.7594,1.97085,0.0432473,0.420022,1.75938,1.97085,0.0432473,0.420032,1.8,1.97085,0.0432965,0.420009,1.75938,1.8,0.420009,1.75938,1.29042e-10,0.420009,1.7594,1.8,0.420032,1.7594,1.29117e-10,0.420032,1.75938,1.8,0.420022,1.75938,1.29087e-10,0.420022,1.7594,1.8,0.420032,1.7594,1.29117e-10,0.420032,0.0432965,3.69954e-11,1.97085,0.0432965,0.0432473,3.69638e-11,1.97085,0.0432473,0.0432473,3.69638e-11,1.97085,0.0432473,0.0432473,3.69638e-11,1.97085,0.0432473,1.97632e-12,2.15639e-12,-5.03094e-14,-2.58852e-13,-1.02125e-10,
4e-06,1.8,1.97085,0,0.0432383,0,0.420027,1.8,1.7594,1.97085,0.0432383,0.420017,1.75938,1.97085,0.0432383,0.420027,1.8,1.97085,0.0432873,0.420005,1.75938,1.8,0.420005,1.75938,1.28564e-10,0.420005,1.7594,1.8,0.420027,1.7594,1.28651e-10,0.420027,1.75938,1.8,0.420017,1.75938,1.28621e-10,0.420017,1.7594,1.8,0.420027,1.7594,1.28651e-10,0.420027,0.0432873,3.69934e-11,1.97085,0.0432873,0.0432383,3.69619e-11,1.97085,0.0432383,0.0432383,3.69619e-11,1.97085,0.0432383,0.0432383,3.69619e-11,1.97085,0.0432383,1.91789e-12,2.09335e-12,-9.94726e-14,-5.13993e-13,-1.02481e-10,
8e-06,1.8,1.97085,0,0.0432255,0,0.420022,1.8,1.7594,1.97085,0.0432255,0.420013,1.75937,1.97085,0.0432255,0.420022,1.8,1.97085,0.0432741,0.420002,1.75937,1.8,0.420002,1.75937,1.20192e-10,0.420002,1.7594,1.8,0.420022,1.7594,1.20335e-10,0.420022,1.75937,1.8,0.420013,1.75937,1.20305e-10,0.420013,1.7594,1.8,0.420022,1.7594,1.20335e-10,0.420022,0.0432741,3.69907e-11,1.97085,0.0432741,0.0432255,3.69593e-11,1.97085,0.0432255,0.0432255,3.69593e-11,1.97085,0.0432255,0.0432255,3.69593e-11,1.97085,0.0432255,9.3156e-13,1.0149e-12,-8.49338e-14,-4.41353e-13,-1.08641e-10,
1.6e-05,1.8,1.97085,0,0.0432135,0,0.42002,1.8,1.7594,1.97085,0.0432135,0.42001,1.75937,1.97085,0.0432135,0.42002,1.8,1.97085,0.043262,0.42,1.75937,1.8,0.42,1.75937,1.16209e-10,0.42,1.7594,1.8,0.42002,1.7594,1.16372e-10,0.42002,1.75937,1.8,0.42001,1.75937,1.16341e-10,0.42001,1.7594,1.8,0.42002,1.7594,1.16372e-10,0.42002,0.043262,3.69882e-11,1.97085,0.043262,0.0432135,3.69568e-11,1.97085,0.0432135,0.0432135,3.69568e-11,1.97085,0.0432135,0.0432135,3.69568e-11,1.97085,0.0432135,4.58755e-13,4.97801e-13,-5.87938e-14,-3.06597e-13,-1.11597e-10,
3.2e-05,1.8,1.97085,0,0.0432025,0,0.420019,1.8,1.7594,1.97085,0.0432025,0.42001,1.75937,1.97085,0.0432025,0.420019,1.8,1.97085,0.0432509,0.420002,1.75937,1.8,0.420002,1.75937,1.14325e-10,0.420002,1.7594,1.8,0.420019,1.7594,1.14492e-10,0.420019,1.75937,1.8,0.42001,1.75937,1.14461e-10,0.42001,1.7594,1.8,0.420019,1.7594,1.14492e-10,0.420019,0.0432509,3.69859e-11,1.97085,0.0432509,0.0432025,3.69545e-11,1.97085,0.0432025,0.0432025,3.69545e-11,1.97085,0.0432025,0.0432025,3.69545e-11,1.97085,0.0432025,2.30474e-13,2.48271e-13,-3.69006e-14,-1.92635e-13,-1.1302e-10,
6.4e-05,1.8,1.97085,0,0.0431915,0,0.420021,1.8,1.7594,1.97085,0.0431915,0.420012,1.75937,1.97085,0.0431915,0.420021,1.8,1.97085,0.0432396,0.420007,1.75937,1.8,0.420007,1.75937,1.13444e-10,0.420007,1.7594,1.8,0.420021,1.7594,1.13609e-10,0.420021,1.75937,1.8,0.420012,1.75937,1.13578e-10,0.420012,1.7594,1.8,0.420021,1.7594,1.13609e-10,0.420021,0.0432396,3.69836e-11,1.97085,0.0432396,0.0431915,3.69521e-11,1.97085,0.0431915,0.0431915,3.69521e-11,1.97085,0.0431915,0.0431915,3.69521e-11,1.97085,0.0431915,1.17924e-13,1.25669e-13,3.31335e-14,1.72842e-13,-1.13715e-10,
0.000128,1.8,1.97085,0,0.0431817,0,0.420025,1.8,1.7594,1.97085,0.0431817,0.420015,1.75937,1.97085,0.0431817,0.420025,1.8,1.97085,0.0432296,0.420014,1.75937,1.8,0.420014,1.75937,1.13052e-10,0.420014,1.7594,1.8,0.420025,1.7594,1.13207e-10,0.420025,1.75937,1.8,0.420015,1.75937,1.13176e-10,0.420015,1.7594,1.8,0.420025,1.7594,1.13207e-10,0.420025,0.0432296,3.69814e-11,1.97085,0.0432296,0.0431817,3.69501e-11,1.97085,0.0431817,0.0431817,3.69501e-11,1.97085,0.0431817,0.0431817,3.69501e-11,1.97085,0.0431817,6.13436e-14,6.44322e-14,-3.48013e-14,-1.81541e-13,-1.14048e-10,
0.000256,1.8,1.97085,0,0.0431737,0,0.42003,1.8,1.7594,1.97085,0.0431737,0.420019,1.75937,1.97085,0.0431737,0.42003,1.8,1.97085,0.0432213,0.420022,1.75937,1.8,0.420022,1.75937,1.12889e-10,0.420022,1.7594,1.8,0.42003,1.7594,1.13032e-10,0.42003,1.75937,1.8,0.420019,1.75937,1.12999e-10,0.420019,1.7594,1.8,0.42003,1.7594,1.13032e-10,0.42003,0.0432213,3.69797e-11,1.97085,0.0432213,0.0431737,3.69484e-11,1.97085,0.0431737,0.0431737,3.69484e-11,1.97085,0.0431737,0.0431737,3.69484e-11,1.97085,0.0431737,3.19816e-14,3.30823e-14,3.72626e-14,1.94569e-13,-1.14218e-10,
