2:FourPixel,
Transient Analysis,
Tue Nov 20 15:07:46 2018,
Input file: \\tsclient\C\Users\marku\Documents\ICdrit\FourPixel.cir,
time [sec],v(vdd) [V],v(11:n1) [V],v(expose) [V],v(11:n2) [V],v(erase) [V],v(11:n3) [V],v(nre_r1) [V],v(out1) [V],v(12:n1) [V],v(12:n2) [V],v(12:n3) [V],v(out2) [V],v(21:n1) [V],v(21:n2) [V],v(21:n3) [V],v(nre_r2) [V],v(22:n1) [V],v(22:n2) [V],v(22:n3) [V],v(m:22:c.drain) [V],v(m:22:c.source) [V],v(m:22:p4.drain) [V],v(m:22:p4.source) [V],v(m:22:p3.drain) [V],v(m:22:p3.source) [V],v(m:21:c.drain) [V],v(m:21:c.source) [V],v(m:21:p4.drain) [V],v(m:21:p4.source) [V],v(m:21:p3.drain) [V],v(m:21:p3.source) [V],v(m:12:c.drain) [V],v(m:12:c.source) [V],v(m:12:p4.drain) [V],v(m:12:p4.source) [V],v(m:12:p3.drain) [V],v(m:12:p3.source) [V],v(m:11:c.drain) [V],v(m:11:c.source) [V],v(m:11:p4.drain) [V],v(m:11:p4.source) [V],v(m:11:p3.drain) [V],v(m:11:p3.source) [V],v(m:22:n2.drain) [V],v(m:22:n2.source) [V],v(m:22:n1.drain) [V],v(m:22:n1.source) [V],v(m:21:n2.drain) [V],v(m:21:n2.source) [V],v(m:21:n1.drain) [V],v(m:21:n1.source) [V],v(m:12:n2.drain) [V],v(m:12:n2.source) [V],v(m:12:n1.drain) [V],v(m:12:n1.source) [V],v(m:11:n2.drain) [V],v(m:11:n2.source) [V],v(m:11:n1.drain) [V],v(m:11:n1.source) [V],i(vnre_r2) [A],i(vnre_r1) [A],i(verase) [A],i(vexpose) [A],i(vdd) [A],
0.000512,1.8,1.97085,0,0.0431693,0,0.420034,1.8,1.7594,1.97085,0.0431693,0.420023,1.75937,1.97085,0.0431693,0.420034,1.8,1.97085,0.0432168,0.42003,1.75937,1.8,0.42003,1.75937,1.12825e-10,0.42003,1.7594,1.8,0.420034,1.7594,1.12957e-10,0.420034,1.75937,1.8,0.420023,1.75937,1.12924e-10,0.420023,1.7594,1.8,0.420034,1.7594,1.12957e-10,0.420034,0.0432168,3.69787e-11,1.97085,0.0432168,0.0431693,3.69475e-11,1.97085,0.0431693,0.0431693,3.69475e-11,1.97085,0.0431693,0.0431693,3.69475e-11,1.97085,0.0431693,1.66463e-14,1.69908e-14,-3.74506e-14,-1.95544e-13,-1.14293e-10,
0.001,1.8,1.97085,0,0.0431708,0,0.42004,1.8,1.7594,1.97085,0.0431708,0.420029,1.75937,1.97085,0.0431708,0.42004,1.8,1.97085,0.0432185,0.420039,1.75937,1.8,0.420039,1.75937,1.12802e-10,0.420039,1.7594,1.8,0.42004,1.7594,1.12926e-10,0.42004,1.75937,1.8,0.420029,1.75937,1.12892e-10,0.420029,1.7594,1.8,0.42004,1.7594,1.12926e-10,0.42004,0.0432185,3.69791e-11,1.97085,0.0432185,0.0431708,3.69478e-11,1.97085,0.0431708,0.0431708,3.69478e-11,1.97085,0.0431708,0.0431708,3.69478e-11,1.97085,0.0431708,9.13223e-15,9.23507e-15,3.66457e-14,1.91282e-13,-1.1433e-10,
0.001002,1.8,1.96369,0.18,0.0455992,0,0.421246,1.8,1.7594,1.96369,0.0455991,0.421236,1.75937,1.96369,0.0455992,0.421246,1.8,1.96392,0.0456367,0.421013,1.75937,1.8,0.421013,1.75937,1.79945e-10,0.421013,1.7594,1.8,0.421246,1.7594,1.80996e-10,0.421246,1.75937,1.8,0.421236,1.75937,1.80966e-10,0.421236,1.7594,1.8,0.421246,1.7594,1.80996e-10,0.421246,0.0456367,3.745e-11,1.96392,0.0456367,0.0455992,3.74226e-11,1.96369,0.0455992,0.0455991,3.74226e-11,1.96369,0.0455991,0.0455992,3.74226e-11,1.96369,0.0455992,8.56166e-12,9.36943e-12,6.52401e-12,-1.08913e-08,-1.37416e-09,
0.0010025,1.8,1.94239,0.225,0.047027,0,0.421976,1.8,1.7594,1.94239,0.047027,0.421966,1.75937,1.94239,0.047027,0.421976,1.8,1.94368,0.0470558,0.420952,1.75937,1.8,0.420952,1.75937,2.5639e-10,0.420952,1.7594,1.8,0.421976,1.7594,2.60401e-10,0.421976,1.75937,1.8,0.421966,1.75937,2.60372e-10,0.421966,1.7594,1.8,0.421976,1.7594,2.60401e-10,0.421976,0.0470558,3.76964e-11,1.94368,0.0470559,0.047027,3.76716e-11,1.94239,0.0470271,0.047027,3.76716e-11,1.94239,0.047027,0.047027,3.76716e-11,1.94239,0.0470271,2.46132e-11,1.9928e-11,1.55182e-11,-1.16341e-08,-8.84121e-09,
0.0010035,1.8,1.69467,0.315,0.0572188,0,0.427123,1.8,1.7594,1.69467,0.0572188,0.427113,1.75937,1.69467,0.0572188,0.427123,1.8,1.70954,0.0572454,0.42397,1.75937,1.8,0.42397,1.75937,1.02065e-09,0.42397,1.7594,1.8,0.427123,1.7594,1.18925e-09,0.427123,1.75937,1.8,0.427113,1.75937,1.18923e-09,0.427113,1.7594,1.8,0.427123,1.7594,1.18925e-09,0.427123,0.0572454,3.89819e-11,1.70954,0.0572456,0.0572188,3.89627e-11,1.69467,0.0572189,0.0572188,3.89627e-11,1.69467,0.0572189,0.0572188,3.89627e-11,1.69467,0.0572189,1.26779e-10,1.41816e-10,9.53968e-11,-2.23478e-08,-7.3877e-08,
0.00100459,1.8,0.589458,0.412763,0.0961827,0,0.446813,1.8,1.7594,0.589457,0.0961827,0.446803,1.75937,0.589458,0.0961827,0.446813,1.8,0.669646,0.0962257,0.440239,1.75937,1.8,0.440239,1.75937,3.05346e-09,0.440239,1.7594,1.8,0.446813,1.7594,2.90628e-09,0.446813,1.75937,1.8,0.446803,1.75937,2.90627e-09,0.446803,1.7594,1.8,0.446813,1.7594,2.90628e-09,0.446813,0.0962257,4.06131e-11,0.669646,0.0962262,0.0961827,4.06062e-11,0.589457,0.0961832,0.0961827,4.06062e-11,0.589457,0.0961832,0.0961827,4.06062e-11,0.589457,0.0961832,3.39844e-10,3.69487e-10,2.94962e-10,-5.2038e-08,-2.33432e-07,
0.00100542,1.8,0.111507,0.487586,0.113149,0,0.455595,1.8,1.7594,0.111507,0.113149,0.455585,1.75937,0.111507,0.113149,0.455595,1.8,0.116198,0.116884,0.449042,1.75937,1.8,0.449042,1.75937,-1.95224e-10,0.449042,1.7594,1.8,0.455595,1.7594,-4.96483e-10,0.455595,1.75937,1.8,0.455585,1.75937,-4.965e-10,0.455585,1.7594,1.8,0.455595,1.7594,-4.96483e-10,0.455595,0.116884,4.08496e-11,0.116198,0.116884,0.113149,4.08152e-11,0.111507,0.113149,0.113149,4.08152e-11,0.111507,0.113149,0.113149,4.08152e-11,0.111507,0.113149,-3.81511e-11,-6.69181e-11,-6.0815e-11,-1.19066e-09,5.49271e-08,
0.00100628,1.8,0.115423,0.565459,0.115044,0,0.457872,1.8,1.7594,0.115423,0.115044,0.457862,1.75937,0.115423,0.115044,0.457872,1.8,0.118915,0.118742,0.450183,1.75937,1.8,0.450183,1.75937,4.77796e-10,0.450183,1.7594,1.8,0.457872,1.7594,8.61317e-10,0.457872,1.75937,1.8,0.457862,1.75937,8.61304e-10,0.457862,1.7594,1.8,0.457872,1.7594,8.61317e-10,0.457872,0.118742,4.0862e-11,0.118915,0.118742,0.115044,4.08297e-11,0.115423,0.115044,0.115044,4.08297e-11,0.115423,0.115044,0.115044,4.08297e-11,0.115423,0.115044,5.82968e-11,7.70485e-11,8.42046e-11,-2.48057e-08,-5.97205e-08,
0.00100699,1.8,0.117574,0.629199,0.117673,0,0.459475,1.8,1.7594,0.117574,0.117673,0.459464,1.75937,0.117574,0.117673,0.459475,1.8,0.121246,0.121278,0.451536,1.75937,1.8,0.451536,1.75937,-9.26791e-11,0.451536,1.7594,1.8,0.459475,1.7594,-3.78808e-10,0.459475,1.75937,1.8,0.459464,1.75937,-3.78825e-10,0.459464,1.7594,1.8,0.459475,1.7594,-3.78808e-10,0.459475,0.121278,4.08812e-11,0.121246,0.121278,0.117673,4.08524e-11,0.117574,0.117673,0.117673,4.08524e-11,0.117574,0.117673,0.117673,4.08524e-11,0.117574,0.117673,-9.77347e-12,-2.12252e-11,-4.45288e-11,-1.30254e-08,5.47006e-08,
0.0010078,1.8,0.121459,0.702269,0.121408,0,0.461285,1.8,1.7594,0.121459,0.121408,0.461274,1.75937,0.121459,0.121408,0.461285,1.8,0.124979,0.124951,0.4534,1.75937,1.8,0.4534,1.75937,8.20442e-10,0.4534,1.7594,1.8,0.461285,1.7594,9.99407e-10,0.461285,1.75937,1.8,0.461274,1.75937,9.99393e-10,0.461274,1.7594,1.8,0.461285,1.7594,9.99407e-10,0.461285,0.124951,4.09028e-11,0.124979,0.124952,0.121408,4.08775e-11,0.121459,0.121408,0.121408,4.08775e-11,0.121458,0.121408,0.121408,4.08775e-11,0.121459,0.121408,9.24356e-11,1.08705e-10,9.44053e-11,-3.26357e-08,-5.91006e-08,
0.00100943,1.8,0.12936,0.848409,0.129376,0,0.464692,1.8,1.7594,0.129359,0.129376,0.464681,1.75937,0.12936,0.129376,0.464692,1.8,0.132862,0.132867,0.455732,1.75937,1.8,0.455732,1.75937,-2.01465e-10,0.455732,1.7594,1.8,0.464692,1.7594,-3.52327e-10,0.464692,1.75937,1.8,0.464681,1.75937,-3.52343e-10,0.464681,1.7594,1.8,0.464692,1.7594,-3.52327e-10,0.464692,0.132867,4.09456e-11,0.132862,0.132867,0.129376,4.09265e-11,0.12936,0.129376,0.129376,4.09265e-11,0.12936,0.129376,0.129376,4.09265e-11,0.12936,0.129376,1.33987e-12,-7.92726e-12,-4.10984e-11,-1.55914e-08,5.47363e-08,
0.00101176,1.8,0.140901,1.05821,0.140887,0,0.47155,1.8,1.7594,0.1409,0.140887,0.471538,1.75937,0.140901,0.140887,0.47155,1.8,0.144316,0.14431,0.460116,1.75937,1.8,0.460116,1.75937,8.16923e-10,0.460116,1.7594,1.8,0.47155,1.7594,9.9574e-10,0.47155,1.75937,1.8,0.471538,1.75937,9.95728e-10,0.471538,1.7594,1.8,0.47155,1.7594,9.9574e-10,0.47155,0.14431,4.09877e-11,0.144316,0.14431,0.140887,4.09746e-11,0.1409,0.140887,0.140887,4.09746e-11,0.1409,0.140887,0.140887,4.09746e-11,0.1409,0.140887,7.89585e-11,8.83012e-11,9.47519e-11,-3.28622e-08,-5.907e-08,
0.00101642,1.8,0.163902,1.47781,0.163907,0,0.484343,1.8,1.7594,0.163902,0.163907,0.484331,1.75937,0.163902,0.163907,0.484343,1.8,0.167219,0.16722,0.471922,1.75937,1.8,0.471922,1.75937,-2.08554e-10,0.471922,1.7594,1.8,0.484343,1.7594,-3.61183e-10,0.484343,1.75937,1.8,0.484331,1.75937,-3.61196e-10,0.484331,1.7594,1.8,0.484343,1.7594,-3.61183e-10,0.484343,0.16722,4.10392e-11,0.167219,0.16722,0.163907,4.10336e-11,0.163902,0.163907,0.163907,4.10336e-11,0.163902,0.163907,0.163907,4.10336e-11,0.163902,0.163907,-4.58705e-13,-4.9148e-13,-4.05668e-11,-1.556e-08,5.4737e-08,
0.00102,1.8,0.181584,1.8,0.181578,0,0.494031,1.8,1.7594,0.181584,0.181578,0.494018,1.75937,0.181584,0.181578,0.494032,1.8,0.184814,0.184811,0.480005,1.75937,1.8,0.480005,1.75937,8.10002e-10,0.480005,1.7594,1.8,0.494032,1.7594,9.85841e-10,0.494032,1.75937,1.8,0.494018,1.75937,9.85832e-10,0.494018,1.7594,1.8,0.494031,1.7594,9.85841e-10,0.494031,0.184811,4.10552e-11,0.184814,0.184811,0.181578,4.10524e-11,0.181584,0.181578,0.181578,4.10524e-11,0.181584,0.181578,0.181578,4.10524e-11,0.181584,0.181578,8.37066e-11,9.15552e-11,9.42181e-11,-3.283e-08,-5.90564e-08,
0.00102093,1.8,0.182062,1.8,0.182062,0,0.494869,1.8,1.7594,0.182062,0.182062,0.494856,1.75937,0.182062,0.182062,0.494869,1.8,0.185294,0.185293,0.480235,1.75937,1.8,0.480235,1.75937,6.66122e-11,0.480235,1.7594,1.8,0.494869,1.7594,7.66993e-11,0.494869,1.75937,1.8,0.494856,1.75937,7.66884e-11,0.494856,1.7594,1.8,0.494869,1.7594,7.66993e-11,0.494869,0.185293,4.10565e-11,0.185294,0.185293,0.182062,4.1054e-11,0.182062,0.182062,0.182062,4.1054e-11,0.182062,0.182062,0.182062,4.1054e-11,0.182062,0.182062,1.38074e-11,1.22677e-11,2.46064e-12,1.45477e-10,-2.98542e-09,
0.0010228,1.8,0.183029,1.8,0.183029,0,0.496409,1.8,1.7594,0.183029,0.183029,0.496395,1.75937,0.183029,0.183029,0.496409,1.8,0.186262,0.186262,0.482965,1.75937,1.8,0.482965,1.75937,6.7698e-11,0.482965,1.7594,1.8,0.496409,1.7594,7.79879e-11,0.496409,1.75937,1.8,0.496395,1.75937,7.79763e-11,0.496395,1.7594,1.8,0.496409,1.7594,7.79878e-11,0.496409,0.186262,4.10568e-11,0.186262,0.186262,0.183029,4.10543e-11,0.183029,0.183029,0.183029,4.10543e-11,0.183029,0.183029,0.183029,4.10543e-11,0.183029,0.183029,1.2097e-12,1.02881e-11,3.18404e-12,1.48291e-10,-2.97937e-09,
0.00102653,1.8,0.184964,1.8,0.184964,0,0.49947,1.8,1.7594,0.184964,0.184964,0.499455,1.75937,0.184964,0.184964,0.49947,1.8,0.188185,0.188185,0.485774,1.75937,1.8,0.485774,1.75937,6.76434e-11,0.485774,1.7594,1.8,0.49947,1.7594,7.96235e-11,0.49947,1.75937,1.8,0.499455,1.75937,7.96106e-11,0.499455,1.7594,1.8,0.49947,1.7594,7.96235e-11,0.49947,0.188185,4.10578e-11,0.188185,0.188185,0.184964,4.10556e-11,0.184964,0.184964,0.184964,4.10556e-11,0.184964,0.184964,0.184964,4.10556e-11,0.184964,0.184964,1.88064e-11,9.16268e-12,3.53778e-12,1.462e-10,-2.98159e-09,
0.00103399,1.8,0.188834,1.8,0.188834,0,0.506017,1.8,1.7594,0.188834,0.188834,0.506001,1.75937,0.188834,0.188834,0.506017,1.8,0.192036,0.192035,0.49208,1.75937,1.8,0.49208,1.75937,7.00524e-11,0.49208,1.7594,1.8,0.506017,1.7594,8.15873e-11,0.506017,1.75937,1.8,0.506001,1.75937,8.15709e-11,0.506001,1.7594,1.8,0.506017,1.7594,8.15873e-11,0.506017,0.192035,4.10596e-11,0.192036,0.192035,0.188834,4.10578e-11,0.188834,0.188834,0.188834,4.10578e-11,0.188834,0.188834,0.188834,4.10578e-11,0.188834,0.188834,3.30748e-14,1.01593e-11,2.10016e-12,1.48353e-10,-2.98019e-09,
0.00104891,1.8,0.196569,1.8,0.196569,0,0.517717,1.8,1.7594,0.196569,0.196569,0.517698,1.75937,0.196569,0.196569,0.517717,1.8,0.199733,0.199732,0.503893,1.75937,1.8,0.503893,1.75937,7.27497e-11,0.503893,1.7594,1.8,0.517717,1.7594,8.84797e-11,0.517717,1.75937,1.8,0.517698,1.75937,8.84561e-11,0.517698,1.7594,1.8,0.517717,1.7594,8.84797e-11,0.517717,0.199732,4.10618e-11,0.199733,0.199732,0.196569,4.10608e-11,0.196569,0.196569,0.196569,4.10608e-11,0.196569,0.196569,0.196569,4.10608e-11,0.196569,0.196569,1.82481e-11,8.1029e-12,3.53478e-12,1.46042e-10,-2.98143e-09,
0.00107874,1.8,0.212013,1.8,0.212013,0,0.537452,1.8,1.7594,0.212013,0.212013,0.53743,1.75937,0.212013,0.212013,0.537452,1.8,0.215109,0.215108,0.524106,1.75937,1.8,0.524106,1.75937,7.93783e-11,0.524106,1.7594,1.8,0.537452,1.7594,9.80135e-11,0.537452,1.75937,1.8,0.53743,1.75937,9.79799e-11,0.53743,1.7594,1.8,0.537452,1.7594,9.80135e-11,0.537452,0.215108,4.1062e-11,0.215109,0.215108,0.212013,4.10622e-11,0.212013,0.212013,0.212013,4.10622e-11,0.212013,0.212013,0.212013,4.10622e-11,0.212013,0.212013,4.26421e-14,9.96824e-12,2.08673e-12,1.47883e-10,-2.97907e-09,
0.00113842,1.8,0.242865,1.8,0.242865,0,0.569878,1.8,1.7594,0.242865,0.242865,0.569856,1.75937,0.242865,0.242865,0.569878,1.8,0.245832,0.245832,0.559789,1.75937,1.8,0.559789,1.75937,9.06319e-11,0.559789,1.7594,1.8,0.569878,1.7594,1.11057e-10,0.569878,1.75937,1.8,0.569856,1.75937,1.11016e-10,0.569856,1.7594,1.8,0.569878,1.7594,1.11057e-10,0.569878,0.245832,4.10503e-11,0.245832,0.245832,0.242865,4.10519e-11,0.242865,0.242865,0.242865,4.10519e-11,0.242865,0.242865,0.242865,4.10519e-11,0.242865,0.242865,1.55499e-11,4.87867e-12,3.51287e-12,1.4514e-10,-2.98058e-09,
0.00125777,1.8,0.304468,1.8,0.304468,0,0.621383,1.8,1.7594,0.304468,0.304468,0.621366,1.75937,0.304468,0.304468,0.621383,1.8,0.307186,0.307186,0.617236,1.75937,1.8,0.617236,1.75937,1.05293e-10,0.617236,1.7594,1.8,0.621383,1.7594,1.18034e-10,0.621383,1.75937,1.8,0.621366,1.75937,1.17993e-10,0.621366,1.7594,1.8,0.621383,1.7594,1.18034e-10,0.621383,0.307186,4.10012e-11,0.307186,0.307186,0.304468,4.10038e-11,0.304468,0.304468,0.304468,4.10038e-11,0.304468,0.304468,0.304468,4.10038e-11,0.304468,0.304468,-3.07812e-12,6.91345e-12,2.06052e-12,1.47979e-10,-2.97755e-09,
0.00149648,1.8,0.427528,1.8,0.427528,0,0.716414,1.8,1.75941,0.427528,0.427528,0.716398,1.75938,0.427528,0.427528,0.716414,1.8,0.429708,0.429708,0.714197,1.75938,1.8,0.714197,1.75938,1.03306e-10,0.714197,1.75941,1.8,0.716414,1.75941,1.12102e-10,0.716414,1.75938,1.8,0.716398,1.75938,1.12068e-10,0.716398,1.75941,1.8,0.716414,1.75941,1.12102e-10,0.716414,0.429708,4.08661e-11,0.429708,0.429708,0.427528,4.08686e-11,0.427528,0.427528,0.427528,4.08686e-11,0.427528,0.427528,0.427528,4.08686e-11,0.427528,0.427528,1.4067e-11,3.96504e-12,3.54188e-12,1.44693e-10,-2.97693e-09,
